RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
111816332;1 ;2025-09-30 19:00:00;Senior;dbo;R128CFA;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R128CFA;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816333;0 ;2025-09-30 19:00:00;Senior;dbo;r577dmc;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r577dmc;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816334;1 ;2025-09-30 19:00:00;Senior;dbo;r017per;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r017per;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816335;1 ;2025-09-30 19:00:00;Senior;dbo;R088UNI;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.R088UNI;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816336;1 ;2025-09-30 19:00:00;Senior;dbo;r128cla;5;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r128cla;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816337;0 ;2025-09-30 19:00:00;Senior;dbo;r577rax;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r577rax;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816338;1 ;2025-09-30 19:00:00;Senior;dbo;r017plv;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r017plv;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816339;0 ;2025-09-30 19:00:00;Senior;dbo;R088VCD;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R088VCD;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816340;1 ;2025-09-30 19:00:00;Senior;dbo;r124hcr_aux3;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r124hcr_aux3;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816341;0 ;2025-09-30 19:00:00;Senior;dbo;r577rev_aux;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r577rev_aux;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816342;0 ;2025-09-30 19:00:00;Senior;dbo;r017ree;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r017ree;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816343;0 ;2025-09-30 19:00:00;Senior;dbo;R088VCS;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R088VCS;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816344;1 ;2025-09-30 19:00:00;Senior;dbo;r124hea_aux;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r124hea_aux;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816345;0 ;2025-09-30 19:00:00;Senior;dbo;r578avi;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r578avi;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816346;1 ;2025-09-30 19:00:00;Senior;dbo;r017rer;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r017rer;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111816347;1 ;2025-09-30 19:00:00;Senior;dbo;R088VEF;23;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.R088VEF;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
