RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
111339480;1 ;2025-08-31 19:00:00;Senior;dbo;r350dm7;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r350dm7;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339481;0 ;2025-08-31 19:00:00;Senior;dbo;R047CIB;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047CIB;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339482;1 ;2025-08-31 19:00:00;Senior;dbo;r146deb;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r146deb;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339483;0 ;2025-08-31 19:00:00;Senior;dbo;R000USC;983;0;0;0;0;S;0;4;0;0;S;0;5;0 - Zero MB;5 - Quantidade de linhas fora do limite de crescimento mensal;Senior.dbo.R000USC;0.0;0.0;1.0833333333333333;0.05434782608695652;0.00;0.00;0.00;0.00;2025-08-31
111339484;0 ;2025-08-31 19:00:00;Senior;dbo;r350aae;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r350aae;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339485;0 ;2025-08-31 19:00:00;Senior;dbo;R047DEN;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047DEN;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339486;0 ;2025-08-31 19:00:00;Senior;dbo;r146def;3;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r146def;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339487;1 ;2025-08-31 19:00:00;Senior;dbo;R000USE;408;0;0;0;0;S;0;4;0;0;S;0;5;0 - Zero MB;5 - Quantidade de linhas fora do limite de crescimento mensal;Senior.dbo.R000USE;0.0;0.0;1.0833333333333333;0.05434782608695652;0.00;0.00;0.00;0.00;2025-08-31
111339488;0 ;2025-08-31 19:00:00;Senior;dbo;r350abe;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r350abe;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339489;1 ;2025-08-31 19:00:00;Senior;dbo;R047EFI;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047EFI;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
